word	mesh	match	name	chebi
CDP	mesh:D003565	Cytidine Diphosphate	CDP	chebi:17239
Pyruvate	mesh:D011773	NA	NA	NA
DMAPP	mesh:C043060	NA	NA	NA
Oxaloacetate	mesh:D010071	NA	NA	NA
NADH	mesh:D009243	NAD	NAD(+)	chebi:15846
Acetyl-CoA	mesh:D000105	Acetyl Coenzyme A	acetyl-CoA	chebi:15351
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Citrate	mesh:C102006	NA	NA	NA
TCA	mesh:C000589078	NA	NA	NA
Isocitrate	mesh:D007523	NA	NA	NA
Succinate	mesh:D013386	Succinates	succinate	chebi:26806
NADPH 2-Oxoglutarate	mesh:C029743	NA	NA	NA
C55	mesh:C114505	NA	NA	NA
Succinyl-CoA	mesh:C012046	NA	NA	NA
GTP	mesh:D006160	Guanosine Triphosphate	GTP	chebi:15996
Terpene	mesh:D013729	terpene	Terpenes	chebi:35186
Menaquinone	mesh:D024482	NA	NA	NA
Amorphadiene	mesh:C515348	amorpha-4,11-diene	amorpha-4,11-diene	chebi:52026
Artemisinin	mesh:D037621	NA	NA	NA
