word	mesh	match	name	chebi
glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose 6-phosphate	mesh:D019298	NA	NA	NA
lactate	mesh:D019344	NA	NA	NA
pyruvate	mesh:D011773	NA	NA	NA
Creatine	mesh:D003401	Creatine	creatine	chebi:16919
Creatinine	mesh:D003404	Creatinine	creatinine	chebi:16737
Citrate	mesh:C102006	NA	NA	NA
Arginine	mesh:D001127	Arginine Vasopressin	argipressin	chebi:34543
TCA	mesh:C000589078	NA	NA	NA
ketoglutarate t	mesh:C029743	NA	NA	NA
Ornithine	mesh:C008973	NA	NA	NA
Proline	mesh:C489032	Ile-Pro-Pro	isoleucyl-prolyl-proline	chebi:158716
succinate	mesh:D013386	Succinates	succinate	chebi:26806
Glutamate	NA	NA	NA	NA
Glutamine	mesh:C578860	Arg-Gln	arginyl-glutamine	chebi:73813
Choline	mesh:D002794	Choline	choline	chebi:15354
Ethanolamine	mesh:D004983	Ethanolamines	ethanolamines	chebi:23981
Phosphocholine	mesh:D010767	Phosphorylcholine	phosphocholine	chebi:18132
Phosphoethanolamine	mesh:C005448	NA	NA	NA
Diacylglycerol	mesh:D004075	Diglycerides	diglyceride	chebi:18035
CDP-choline	mesh:D003566	Cytidine Diphosphate Choline	CDP-choline	chebi:16436
CDP-ethanolamine	mesh:C006933	CDP-ethanolamine	CDP ethanolamine	chebi:16732
CMP	mesh:D003568	Cytidine Monophosphate	cytidine 5'-monophosphate	chebi:17361
Phosphatidylcholine	mesh:D010713	Phosphatidylcholines	phosphatidylcholine(1+)	chebi:49183
Phosphatidylethanolamine	mesh:C483858	NA	NA	NA
Acyl-glycerophosphorylcholine	mesh:C014307	NA	NA	NA
Acyl-glycerophosphorylethanolamine	mesh:C002449	NA	NA	NA
Glycerophosphorylcholine	mesh:D005997	Glycerylphosphorylcholine	choline alfoscerate	chebi:16870
Glycerophosphorylethanolamine	mesh:C002449	NA	NA	NA
glycerol 3-phosphate	mesh:C029620	NA	NA	NA
glycerol	mesh:D005990	Glycerol	glycerol	chebi:17754
3-phosphate	mesh:D010710	NA	NA	NA
