word	mesh	match	name	chebi
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Acetyl	mesh:C011632	NA	NA	NA
Squalene	mesh:D013185	Squalene	squalene	chebi:15440
5-dehydroepisterol	mesh:C068492	NA	NA	NA
tetraene-3B-ol	mesh:C058991	NA	NA	NA
methylene	mesh:D008752	Methylene Chloride	dichloromethane	chebi:15767
cholesterol	mesh:D002784	Cholesterol	cholesterol	chebi:16113
Ergosterol	mesh:D004875	Ergosterol	ergosterol	chebi:16933
Campesterol	mesh:C021273	NA	NA	NA
