word	mesh	match	name	chebi
Gluconate	mesh:D005942	Gluconates	gluconates	chebi:33804
NAD(P)H	mesh:D009243	NAD	NAD(+)	chebi:15846
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Pyruvate	mesh:D011773	NA	NA	NA
NADPH	mesh:D009249	NA	NA	NA
gluconate	mesh:D005942	Gluconates	gluconates	chebi:33804
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
KDPG	mesh:C081217	NA	NA	NA
DHAP	mesh:C017202	NA	NA	NA
NADH	mesh:D009243	NAD	NAD(+)	chebi:15846
1,3-bisPG	mesh:C100573	prostaglandin A1	prostaglandin A1	chebi:15545
TCA	mesh:C000589078	NA	NA	NA
