word	symbol	source	hgnc_symbol	entrez
AKT	AKT	bioentities_symbol	AKT1	207
APOB	APOB	hgnc_symbol	APOB	338
LDLR	LDLR	hgnc_symbol	LDLR	3949
AKT	AKT	bioentities_symbol	AKT2	208
AMFR	AMFR	hgnc_symbol	AMFR	267
AKT	AKT	bioentities_symbol	AKT3	10000
INSR	INSR	hgnc_symbol	INSR	3643
SREBF2	SREBF2	hgnc_symbol	SREBF2	6721
MTOR	MTOR	hgnc_symbol	MTOR	2475
PCSK9	PCSK9	hgnc_symbol	PCSK9	255738
LDL-C	LDLC	hgnc_prev_symbol	COG2	22796
INSIG1	INSIG1	hgnc_symbol	INSIG1	3638
HMGCR	HMGCR	hgnc_symbol	HMGCR	3156
HNF1A	HNF1A	hgnc_symbol	HNF1A	6927
S1P	S1P	hgnc_alias_symbol	MBTPS1	8720
HNF4a	HNF4A	hgnc_symbol	HNF4A	3172
INS	INS	hgnc_symbol	INS	3630
SCAP	SCAP	hgnc_symbol	SCAP	22937
S2P	S2P	hgnc_alias_symbol	MBTPS2	51360
